                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5554,                      0,                   0.75,                 2.3298,                      0,                      0,                      0
                      2,                 2.4835,                0.08333,                   0.75,                 2.3289,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 2.2042,                      0,                   0.75,                   2.33,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 2.1013,                      0,                   0.75,                 2.3275,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 2.5344,                      0,                    0.5,                  2.325,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 2.4467,                      0,                0.41667,                 2.3265,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 2.3642,                      0,                0.41667,                 2.3246,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 2.0902,                      0,                0.41667,                 2.3224,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                 2.1774,                      0,                0.41667,                 2.3186,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 2.1691,                      0,                    0.5,                 2.3139,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                 2.0964,                      0,                0.83333,                 2.3127,             6.4331e-05,             6.4331e-05,             6.4331e-05
